Title,More Info,Price,Serviced,Newly Built,Furnished,Bedrooms,Bathrooms,Toilets,City,Neighborhood
Newly Built 4 Bedroom Duplex,4 BEDROOM HOUSE FOR RENT,"5,000,000/year",1,1,0,4 beds,4 baths,5 Toilets,Lekki,Ologolo
Newly Built 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"4,500,000/year",1,1,0,4 beds,4 baths,5 Toilets,Lekki,Chevron
3 Bedroom Waterfront Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,"13,000,000/year",1,0,0,3 beds,3 baths,4 Toilets,Lekki,Lekki Phase 1
Newly Built Mini Flat,FLAT / APARTMENT FOR RENT,"1,700,000/year",0,0,0,0 beds,0 baths,2 Toilets,Lekki,Osapa London
Newly Built 5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR RENT,"15,000,000/year",1,1,0,5 beds,5 baths,6 Toilets,Lekki,Ikate
3 Bedroom Semi Detached Duplex,3 BEDROOM COMMERCIAL PROPERTY FOR RENT,"4,000,000/year",0,0,0,3 beds,3 baths,3 Toilets,Lekki,Lekki Phase 1
Newly Built 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"7,500,000/year",1,1,0,4 beds,4 baths,5 Toilets,Lekki,Lekki Phase 1
Decent 2 Bedroom Flat,2 BEDROOM FLAT / APARTMENT FOR RENT,"3,000,000/year",0,0,0,2 beds,2 baths,2 Toilets,Lekki,Ikate
2 Bedroom Penthouse,HOUSE FOR RENT,"10,000,000/year",1,0,1,0 beds,0 baths,0 Toilets,Lekki,Lekki Phase 1
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"4,500,000/year",0,1,0,4 beds,4 baths,5 Toilets,Lekki,Chevron
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"5,000,000/year",0,1,0,4 beds,4 baths,5 Toilets,Lekki,Ikate
Newly Built 4 Bedroom Duplex,4 BEDROOM HOUSE FOR RENT,"4,500,000/year",1,1,0,4 beds,4 baths,5 Toilets,Lekki,Chevron
3 Bedroom Terrace Duplex + 1 Room Bq For Rent,3 BEDROOM HOUSE FOR RENT,"8,000,000/year",1,0,1,3 beds,3 baths,4 Toilets,Lekki,Ikate
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR RENT,"3,500,000/year",1,0,0,4 beds,4 baths,5 Toilets,Lekki,Other Lekki
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"4,500,000/year",1,1,0,4 beds,4 baths,5 Toilets,Lekki,Chevron
4 Bedroom Semi Duplex,4 BEDROOM HOUSE FOR RENT,"6,000,000/year",0,0,0,4 beds,4 baths,5 Toilets,Lekki,Agungi
3 Bedroom Apartment,3 BEDROOM FLAT / APARTMENT FOR RENT,"11,000,000/year",1,0,1,3 beds,3 baths,4 Toilets,Lekki,Lekki Phase 1
Newly Built 1 Bedroom Mini Flat,1 BEDROOM FLAT / APARTMENT FOR RENT,"2,000,000/year",0,0,0,1 beds,1 baths,2 Toilets,Lekki,Ikate
Newly Built 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR RENT,"5,000,000/year",0,1,0,4 beds,4 baths,5 Toilets,Lekki,Chevron
Lovely 5 Bedroom Detached Duplex,5 BEDROOM HOUSE FOR RENT,"7,000,000/year",0,0,0,5 beds,5 baths,6 Toilets,Lekki,Osapa London
Newly Built 3 Bedroom Terrace Duplex,3 BEDROOM HOUSE FOR RENT,"3,500,000/year",1,1,0,3 beds,3 baths,4 Toilets,Lekki,Chevron
5 Bedroom Semi Detached Duplex,5 BEDROOM HOUSE FOR RENT,"7,500,000/year",1,0,0,5 beds,5 baths,6 Toilets,Lekki,Chevron
Luxury 2 Bedroom Apartment,2 BEDROOM FLAT / APARTMENT FOR RENT,"5,200,000/year",1,0,0,2 beds,2 baths,3 Toilets,Lekki,Ikate
4 Bedroom Semi Detached Duplex,5 BEDROOM HOUSE FOR RENT,"5,000,000/year",1,1,0,5 beds,6 baths,6 Toilets,Lekki,Chevron
